statement,veracity,light_normalization,full_normalization
Says his barehanded catch posted on YouTube is real.,0,says his barehanded catch posted on youtube is real.,barehanded catch post youtube real
"Says Gov. Rick Perry has been ""begging"" for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.",0,"says gov. rick perry has been ""begging"" for the federal government to send the coast guard to patrol two lakes on the u.s.-mexico border.",gov rick perry beg federal government send coast guard patrol lake border
"""To give a sense of how families are struggling, a record four out of every 10 school kids in Ohio now qualifies for subsidized lunch.""",1,"""to give a sense of how families are struggling, a record four out of every 10 school kids in ohio now qualifies for subsidized lunch.""",sense family struggle record school kid ohio qualify subsidized lunch
"The U.S. has ""47 million people on food stamps. That’s 14 million more than when the current occupant of the White House took over.""",1,"the u.s. has ""47 million people on food stamps. thats 14 million more than when the current occupant of the white house took over.""",million people food stamp million current occupant white house
"The Providence teacher contract ""is one of the longest in the country.""",0,"the providence teacher contract ""is one of the longest in the country.""",providence teacher contract long country
"""Early voting remains at 96 hours.""",0,"""early voting remains at 96 hours.""",early voting remain hour
"""Unions don’t have to comply with Obamacare.""",0,"""unions dont have to comply with obamacare.""",union comply obamacare
"""The new light bulbs will cost roughly six times the cost of the light bulbs we now use.""",0,"""the new light bulbs will cost roughly six times the cost of the light bulbs we now use.""",new light bulb cost roughly time cost light bulb use
"Deregulation of the state’s telecommunications industry will create 50,000 jobs in Wisconsin.",0,"deregulation of the states telecommunications industry will create 50,000 jobs in wisconsin.",deregulation state telecommunications industry create job wisconsin
"The U.S. has ""over $62 trillion in unfunded liabilities.""",0,"the u.s. has ""over $62 trillion in unfunded liabilities.""",trillion unfunded liability
"""A gallon (of gasoline) delivered to the front lines for our troops in Afghanistan cost more than $400.""",1,"""a gallon (of gasoline) delivered to the front lines for our troops in afghanistan cost more than $400.""",gallon gasoline deliver line troop afghanistan cost
"""The turnout on May 14th was just 7 percent -- the lowest turnout in decades.""",1,"""the turnout on may 14th was just 7 percent -- the lowest turnout in decades.""",turnout percent low turnout decade
"""Tommy Thompson wanted to implant data chips in humans.""",1,"""tommy thompson wanted to implant data chips in humans.""",tommy thompson want implant data chip human
"""No other Northeastern state has passed a photo ID law""",1,"""no other northeastern state has passed a photo id law""",northeastern state pass photo d law
"""If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.""",1,"""if you take the population growth here in virginia, we are net zero on job creation since (bob mcdonnell) became governor.""",population growth virginia net zero job creation bob mcdonnell governor
"""The Arab and the Muslim nations get twice as much money as Israel.""",1,"""the arab and the muslim nations get twice as much money as israel.""",arab muslim nation twice money israel
"Next year, ""you will be mandated by federal law to get rid of your existing light bulbs.""",0,"next year, ""you will be mandated by federal law to get rid of your existing light bulbs.""",year mandate federal law rid exist light bulb
"""The Democrats have already voted to ban our conventional light bulbs ... in favor of dangerous fluorescent light bulbs.""",0,"""the democrats have already voted to ban our conventional light bulbs ... in favor of dangerous fluorescent light bulbs.""",democrats vote ban conventional light bulb favor dangerous fluorescent light bulb
"Department of Education officials investigating Virginia Tech shootings ""have not once gotten into the car and driven down to Blacksburg to talk to the police chief or the university president or to anyone else.""",1,"department of education officials investigating virginia tech shootings ""have not once gotten into the car and driven down to blacksburg to talk to the police chief or the university president or to anyone else.""",department education official investigate virginia tech shooting car drive blacksburg talk police chief university president
"Says state lawmakers have voted to ""spend virtually all of the Rainy Day Fund four times"" since the fund’s creation.",1,"says state lawmakers have voted to ""spend virtually all of the rainy day fund four times"" since the funds creation.",state lawmaker vote spend virtually rainy day fund time fund creation
"""The health care price tag for childhood obesity in Georgia is $2.4 billion annually and rising.""",0,"""the health care price tag for childhood obesity in georgia is $2.4 billion annually and rising.""",health care price tag childhood obesity georgia billion annually rise
"Promotes a chart saying that Barack Obama has ""increased the debt"" by 16 percent, compared to George W. Bush, who increased it by 115 percent.",0,"promotes a chart saying that barack obama has ""increased the debt"" by 16 percent, compared to george w. bush, who increased it by 115 percent.",promote chart barack obama increase debt percent compare george bush increase percent
"On taxes, President Barack Obama wants to raise ""the top rate to 44.8 percent.""",1,"on taxes, president barack obama wants to raise ""the top rate to 44.8 percent.""",taxis president barack obama want raise rate percent
"""Wisconsin is one of the few states in the country that do not currently require a photographic identification"" to vote.",0,"""wisconsin is one of the few states in the country that do not currently require a photographic identification"" to vote.",wisconsin state country currently require photographic identification vote
"""The $1.8 billion in [transportation] bonding, we don’t have a repayment mechanism.""",0,"""the $1.8 billion in [transportation] bonding, we dont have a repayment mechanism.""",billion transportation bonding repayment mechanism
"Says people who signed recall petitions against Wisconsin state Sen. Jim Holperin received ""harassing phone calls from out-of-state telemarketers claiming to represent the Democratic Party and insinuating foul play by petition circulators.""",1,"says people who signed recall petitions against wisconsin state sen. jim holperin received ""harassing phone calls from out-of-state telemarketers claiming to represent the democratic party and insinuating foul play by petition circulators.""",people sign recall petition wisconsin state sen jim holperin receive harass phone state telemarketer claim represent democratic party insinuate foul play petition circulator
Says there are more federal dollars in Gov. John Kasich's budget plan than in the previous state budget.,0,says there are more federal dollars in gov. john kasich's budget plan than in the previous state budget.,federal dollar gov john kasich budget plan previous state budget
"""In the first year of the Obama administration, more jobs were created in the private sector than in the eight years of the Bush administration.""",0,"""in the first year of the obama administration, more jobs were created in the private sector than in the eight years of the bush administration.""",year obama administration job create private sector year bush administration
"""You can't give a child an aspirin in school without permission. You can't do any kind of medication, but we can secretly take the child off and have an abortion.""",1,"""you can't give a child an aspirin in school without permission. you can't do any kind of medication, but we can secretly take the child off and have an abortion.""",child aspirin school permission kind medication secretly child abortion
"""The Ohio Democratic Party has raised $1.1 million since the November election. A very small percentage of that has come from organized labor.""",1,"""the ohio democratic party has raised $1.1 million since the november election. a very small percentage of that has come from organized labor.""",ohio democratic party raise million november election small percentage come organize labor
"""Very, very, very few people get a pat-down"" when they go through airport security.",0,"""very, very, very few people get a pat-down"" when they go through airport security.",people pat airport security
"""The (border) fence is now basically complete.""",0,"""the (border) fence is now basically complete.""",border fence basically complete
"The Massachusetts health care plan is ""wildly unpopular"" among state residents.",0,"the massachusetts health care plan is ""wildly unpopular"" among state residents.",massachusetts health care plan wildly unpopular state resident
Failure to raise the debt limit does not force a U.S. default on debt payments.,1,failure to raise the debt limit does not force a u.s. default on debt payments.,failure raise debt limit force default debt payment
"Says the Texas Board of Nursing has a backlog of ""3,000 complaints against nurses, many of them sexual assaults, malfeasance.""",1,"says the texas board of nursing has a backlog of ""3,000 complaints against nurses, many of them sexual assaults, malfeasance.""",texas board nursing backlog complaint nurse sexual assault malfeasance
"""Eighty-seven percent of private insurance plans currently include (abortion) coverage.""",1,"""eighty-seven percent of private insurance plans currently include (abortion) coverage.""",eighty seven percent private insurance plan currently include abortion coverage
"""There are not, nor have there ever been, any boycotts encouraged by our organizations.""",0,"""there are not, nor have there ever been, any boycotts encouraged by our organizations.""",boycott encourage organization
"Says businesses ""already pay most of the taxes.""",1,"says businesses ""already pay most of the taxes.""",business pay taxis
"""Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.""",0,"""most military experts say there is anywhere between 25 and 30 members of al qaeda in afghanistan.""",military expert member al qaeda afghanistan
"If the Sellwood Bridge is not replaced, it will have to be shut down within eight years.",0,"if the sellwood bridge is not replaced, it will have to be shut down within eight years.",sellwood bridge replace shut year
"Says judges are using Shariah law in Dearborn, Mich.",0,"says judges are using shariah law in dearborn, mich.",judge use shariah law dearborn mich
"President Obama’s health care law ""represents a government takeover of health care.""",0,"president obamas health care law ""represents a government takeover of health care.""",president obama health care law represent government takeover health care
"George Allen ""had 40,000 earmarks"" while he was a senator.",0,"george allen ""had 40,000 earmarks"" while he was a senator.",george allen earmark senator
"Says Rick Perry ""turned down our invitation to meet"" President Barack Obama in El Paso.",1,"says rick perry ""turned down our invitation to meet"" president barack obama in el paso.",rick perry turn invitation meet president barack obama el paso
"""We're within 600 miles of 60 percent of America. We're in a perfect location.""",1,"""we're within 600 miles of 60 percent of america. we're in a perfect location.""",mile percent america perfect location
Increasing the bottle deposit to 10 cents on a case of water bottles could literally double the price of that product in the store.,0,increasing the bottle deposit to 10 cents on a case of water bottles could literally double the price of that product in the store.,increase bottle deposit cent case water bottle literally double price product store
"""(Bill) Nelson voted for billions in wasteful spending earmarks like the Bridge to Nowhere.""",1,"""(bill) nelson voted for billions in wasteful spending earmarks like the bridge to nowhere.""",bill nelson vote billion wasteful spending earmark like bridge
"About two-thirds of Medicaid beneficiaries are children, but they account for one-third of the program’s cost, while one-third are elderly, and they account for two-thirds of the cost.",0,"about two-thirds of medicaid beneficiaries are children, but they account for one-third of the programs cost, while one-third are elderly, and they account for two-thirds of the cost.",medicaid beneficiary child account program cost elderly account cost
"Says Wisconsin Gov. Scott Walker ""literally invented a $3.6 billion deficit.""",0,"says wisconsin gov. scott walker ""literally invented a $3.6 billion deficit.""",wisconsin gov scott walker literally invent billion deficit
"""The substitute budget now adds in tax breaks and tax deductions for those who buy these prisons.""",1,"""the substitute budget now adds in tax breaks and tax deductions for those who buy these prisons.""",substitute budget add tax break tax deduction buy prison
"""For four years, we balanced the budget and paid off $405 billion in debt.""",0,"""for four years, we balanced the budget and paid off $405 billion in debt.""",year balance budget pay billion debt
"During his time as House speaker, ""unemployment came down from 5.6 percent to under 4 (percent).""",0,"during his time as house speaker, ""unemployment came down from 5.6 percent to under 4 (percent).""",time house speaker unemployment come percent percent
"Under President Barack Obama, the United States has ""doubled our exports.""",0,"under president barack obama, the united states has ""doubled our exports.""",president barack obama united state double export
"The Bush tax cuts ""created about 8 million jobs over the first 10 years that they were in existence. We've lost about 5 million of those jobs during this recession.""",0,"the bush tax cuts ""created about 8 million jobs over the first 10 years that they were in existence. we've lost about 5 million of those jobs during this recession.""",bush tax cut create million job year existence ve lose million job recession
The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.,1,the obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.,obama administration increase deportation illegal immigrant convict crime percent
"""American oil production is at its highest level since 2003.""",1,"""american oil production is at its highest level since 2003.""",american oil production high level
"""Two-thirds of Wisconsin corporations don't pay state income taxes.""",1,"""two-thirds of wisconsin corporations don't pay state income taxes.""",wisconsin corporation pay state income taxis
"When ""the governor announced his ‘jobs budget,’ 99 folks from the Department of Taxation were let go the next day.""",1,"when ""the governor announced his jobs budget, 99 folks from the department of taxation were let go the next day.""",governor announce job budget folk department taxation let day
"""The people of Rhode Island don't want same-sex marriage.""",0,"""the people of rhode island don't want same-sex marriage.""",people rhode island want sex marriage
"""The Border Patrol has 20,000 agents – more than twice as many as there were in 2004.""",1,"""the border patrol has 20,000 agents  more than twice as many as there were in 2004.""",border patrol agent twice
"""The only people in this town that have voted to cut Medicare spending are the people who voted in favor of Obamacare. That’s a fact.""",0,"""the only people in this town that have voted to cut medicare spending are the people who voted in favor of obamacare. thats a fact.""",people town vote cut medicare spending people vote favor obamacare fact
"The ""six largest cities in Ohio all have higher rates of violence and crime than every major city along the U.S.-Mexico border.""",1,"the ""six largest cities in ohio all have higher rates of violence and crime than every major city along the u.s.-mexico border.""",large city ohio high rate violence crime major city border
"During the Eisenhower Administration, ""not a single soldier … died in combat.""",0,"during the eisenhower administration, ""not a single soldier ... died in combat.""",eisenhower administration single soldier die combat
"""Austin Energy is considering its first rate increase since 1994.""",1,"""austin energy is considering its first rate increase since 1994.""",austin energy consider rate increase
"Says President Barack Obama’s debt commission recommended converting Medicare ""to a system where Medicare participants are given a voucher to purchase insurance in the private market.""",0,"says president barack obamas debt commission recommended converting medicare ""to a system where medicare participants are given a voucher to purchase insurance in the private market.""",president barack obama debt commission recommend convert medicare system medicare participant voucher purchase insurance private market
"""Two million federal workers negotiate zippo, zero. There is no collective bargaining for federal employees.""",0,"""two million federal workers negotiate zippo, zero. there is no collective bargaining for federal employees.""",million federal worker negotiate zippo zero collective bargaining federal employee
"There is ""a situation in this country where you're nearing 50 percent of people who don't even pay income taxes.""",1,"there is ""a situation in this country where you're nearing 50 percent of people who don't even pay income taxes.""",situation country near percent people pay income taxis
"""Gov. (Scott) Walker has yet to create a job, he gives away millions to his friends, and he raises taxes on working people.""",0,"""gov. (scott) walker has yet to create a job, he gives away millions to his friends, and he raises taxes on working people.""",gov scott walker create job away million friend raise taxis work people
"Georgia is ""one of only about seven states in the country"" that has a AAA bond rating.",1,"georgia is ""one of only about seven states in the country"" that has a aaa bond rating.",georgia seven state country aaa bond rating
Says close to 90 percent of the population growth in Texas over the last decade was non-Anglo.,1,says close to 90 percent of the population growth in texas over the last decade was non-anglo.,close percent population growth texas decade non anglo
"Says Milwaukee County spent over $170,000 in salaries in 2010 for employees to ""participate in union activities such as collective bargaining.""",1,"says milwaukee county spent over $170,000 in salaries in 2010 for employees to ""participate in union activities such as collective bargaining.""",milwaukee county spend salary employee participate union activity collective bargaining
"""I'm well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.""",0,"""i'm well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.""",I aware medical marijuana recognize medical viable treatment sort pancreas pain condition
"From 2008 to 2011, ""the pages in the conforming bills have gone from 400 pages to 2,200.""",1,"from 2008 to 2011, ""the pages in the conforming bills have gone from 400 pages to 2,200.""",page conform bill page
The study that states that more than 70 percent of the traffic on the Sellwood Bridge is to/from Clackamas County has been thoroughly debunked by The Oregonian.,0,the study that states that more than 70 percent of the traffic on the sellwood bridge is to/from clackamas county has been thoroughly debunked by the oregonian.,study state percent traffic sellwood bridge clackamas county thoroughly debunk oregonian
"Benzene has ""never been proven to be harmful.""",0,"benzene has ""never been proven to be harmful.""",benzene prove harmful
"On the night of the Iowa caucuses, Obama ""promised the nation that he would do health care reform focused on cost containment, he opposed an individual mandate, and he said he was going to do it with Republicans.""",1,"on the night of the iowa caucuses, obama ""promised the nation that he would do health care reform focused on cost containment, he opposed an individual mandate, and he said he was going to do it with republicans.""",night iowa caucus obama promise nation health care reform focus cost containment oppose individual mandate republican
"""We have the highest corporate income tax in the world right now.""",1,"""we have the highest corporate income tax in the world right now.""",high corporate income tax world right
"Says people in Africa ""literally walk two and three hundred miles"" in order to vote.",0,"says people in africa ""literally walk two and three hundred miles"" in order to vote.",people africa literally walk mile order vote
"""I’ve been through four campaigns and have not done any negative campaigning.""",1,"""ive been through four campaigns and have not done any negative campaigning.""",I ve campaign negative campaigning
"""Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nation’s dropouts.""",1,"""nearly 2,000 high schools - roughly 12 percent of all secondary schools in the united states - produce about half of the nations dropouts.""",nearly high school roughly percent secondary school united state produce half nation dropout
Says one of Austin City Council Member Randi Shade’s biggest contributors is the lobbyist for the Formula 1 racetrack planned outside Austin.,0,says one of austin city council member randi shades biggest contributors is the lobbyist for the formula 1 racetrack planned outside austin.,austin city council member randi shade big contributor lobbyist formula racetrack plan outside austin
"House Republican plan would increase costs for Oregon seniors by $6,000 with health care vouchers instead of Medicare",1,"house republican plan would increase costs for oregon seniors by $6,000 with health care vouchers instead of medicare",house republican plan increase cost oregon senior health care voucher instead medicare
"""A [bank] surveillance camera capturing a criminal’s face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.""",0,"""a [bank] surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.""",bank surveillance camera capture criminal face identifiable trait certainly discourage robbery attempt serve deterrent robber
"The federal debt is more than $14 trillion, ""almost equal to the size of our entire economy,"" and ""every child born today inherits a $45,000 share of the national debt before they take their first breath.""",1,"the federal debt is more than $14 trillion, ""almost equal to the size of our entire economy,"" and ""every child born today inherits a $45,000 share of the national debt before they take their first breath.""",federal debt trillion equal size entire economy child bear today inherit share national debt breath
"""Polls show that Floridians don't want to repeal the Affordable Care Act.""",0,"""polls show that floridians don't want to repeal the affordable care act.""",poll floridian want repeal affordable care act
"""America owns 3 percent of the world’s oil but consumes 25 percent of its global reserves.""",1,"""america owns 3 percent of the worlds oil but consumes 25 percent of its global reserves.""",america percent world oil consume percent global reserve
Says he has exposed plans by Wisconsin Gov. Scott Walker to push legislation that would allow the state to declare financial martial law and take over municipal governments.,0,says he has exposed plans by wisconsin gov. scott walker to push legislation that would allow the state to declare financial martial law and take over municipal governments.,expose plan wisconsin gov scott walker push legislation allow state declare financial martial law municipal government
"Rep. Paul Ryan's budget proposal cuts ""nothing"" from Medicare, Social Security or defense in the next two to three years, and ""in three years, he does not cut one dime from the debt.""",1,"rep. paul ryan's budget proposal cuts ""nothing"" from medicare, social security or defense in the next two to three years, and ""in three years, he does not cut one dime from the debt.""",rep paul ryan budget proposal cut medicare social security defense year year cut dime debt
"""The federal government borrows $4 billion every day.""",1,"""the federal government borrows $4 billion every day.""",federal government borrow billion day
"In a lawsuit between private citizens, a Florida judge ""announced the decision was going to be based on Islamic Law.""",1,"in a lawsuit between private citizens, a florida judge ""announced the decision was going to be based on islamic law.""",lawsuit private citizen florida judge announce decision base islamic law
"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- it’s caused by a ""shrinking of the actual labor force.""",1,"says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a ""shrinking of the actual labor force.""",unemployment rate improve reflect real job creation cause shrinking actual labor force
"""You’ve got each day 10,000 new seniors, baby boomers, becoming eligible for the entitlement programs.""",1,"""youve got each day 10,000 new seniors, baby boomers, becoming eligible for the entitlement programs.""",ve day new senior baby boomer eligible entitlement program
"Says the Internal Revenue Service estimated it must hire ""16,500 agents at a cost of $10 billion to the taxpayer"" to enforce the federal health care overhaul.",0,"says the internal revenue service estimated it must hire ""16,500 agents at a cost of $10 billion to the taxpayer"" to enforce the federal health care overhaul.",internal revenue service estimate hire agent cost billion taxpayer enforce federal health care overhaul
"""At Texas A&M University, only 49 out of 3,000 faculty members brought in enough money to pay for their salaries and overhead over the past five years.""",0,"""at texas a&m university, only 49 out of 3,000 faculty members brought in enough money to pay for their salaries and overhead over the past five years.""",texas university faculty member bring money pay salary overhead past year
"Drilling for oil on the Outer Continental Shelf and in parts of Alaska will  ""immediately reduce our dangerous dependence on foreign oil.""",0,"drilling for oil on the outer continental shelf and in parts of alaska will  ""immediately reduce our dangerous dependence on foreign oil.""",drill oil outer continental shelf alaska immediately reduce dangerous dependence foreign oil
"Says that had E-Verify been in place in Florida when 9/11 terrorists lived here, ""we might have saved the lives of 3,000 Americans.""",0,"says that had e-verify been in place in florida when 9/11 terrorists lived here, ""we might have saved the lives of 3,000 americans.""",e verify place florida terrorist live save life american
"""China now owns $1.1 trillion of our debt, our trade deficit last year with them was a quarter of a trillion dollars.""",1,"""china now owns $1.1 trillion of our debt, our trade deficit last year with them was a quarter of a trillion dollars.""",china trillion debt trade deficit year quarter trillion dollar
"Says using E-Verify is ""a fair amount of cost,"" about $20 per person that does not match.",1,"says using e-verify is ""a fair amount of cost,"" about $20 per person that does not match.",use e verify fair cost person match
"""Currently, there is no one from South Austin on the (Austin City) Council!""",1,"""currently, there is no one from south austin on the (austin city) council!""",currently south austin austin city council
"""State employees are actually going to get a pay raise.""",0,"""state employees are actually going to get a pay raise.""",state employee actually pay raise
"""One of three patients hospitalized (is) harmed by the care they receive.""",1,"""one of three patients hospitalized (is) harmed by the care they receive.""",patient hospitalize harm care receive
"""55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count.""",1,"""55 percent of the people who cast a provisional ballot (in florida) in the last presidential election -- their vote did not count.""",percent people cast provisional ballot florida presidential election vote count
"Says that while his plan would narrow the time for early voting, ""it still will be one of the most aggressive early voting time frames in America.""",0,"says that while his plan would narrow the time for early voting, ""it still will be one of the most aggressive early voting time frames in america.""",plan narrow time early voting aggressive early voting time frame america
"Says it probably costs more than $300,000 to run for a seat on the Pedernales Electric Cooperative board of directors.",0,"says it probably costs more than $300,000 to run for a seat on the pedernales electric cooperative board of directors.",probably cost run seat pedernale electric cooperative board director
"Says ""in Canada, the number of CT scan machines per 1,000 people is like one-tenth of what we have here in this country. That's why people have to wait.""",0,"says ""in canada, the number of ct scan machines per 1,000 people is like one-tenth of what we have here in this country. that's why people have to wait.""",canada number ct scan machine people like tenth country people wait
"Republicans offered Wisconsin bar patrons ""free shots (of alcohol) to sign recall petitions against"" Democrats.",0,"republicans offered wisconsin bar patrons ""free shots (of alcohol) to sign recall petitions against"" democrats.",republican offer wisconsin bar patron free shot alcohol sign recall petition democrats
"""We just fought a Republican budget that ends Medicare as we know it.""",0,"""we just fought a republican budget that ends medicare as we know it.""",fight republican budget end medicare know
"""There are legitimate and widespread anomalies, and widespread questions about the conduct of (the Wisconsin Supreme Court) election, most visibly in Waukesha County, but also in counties around the state.""",0,"""there are legitimate and widespread anomalies, and widespread questions about the conduct of (the wisconsin supreme court) election, most visibly in waukesha county, but also in counties around the state.""",legitimate widespread anomaly widespread question conduct wisconsin supreme court election visibly waukesha county county state
"The Bush tax cuts ""helped to create a substantial part of the deficit.""",1,"the bush tax cuts ""helped to create a substantial part of the deficit.""",bush tax cut help create substantial deficit
"""Texans spend $2.5 billion gambling in our neighboring states every year.""",1,"""texans spend $2.5 billion gambling in our neighboring states every year.""",texan spend billion gambling neighboring state year
"""A $250 fine if you're caught with a plastic bag coming out of a store. Plastic bag police anyone?""",0,"""a $250 fine if you're caught with a plastic bag coming out of a store. plastic bag police anyone?""",fine catch plastic bag come store plastic bag police
"Says ""we have now more Border Patrol officers … than we’ve had at any time in our history.""",1,"says ""we have now more border patrol officers ... than weve had at any time in our history.""",border patrol officer ve time history
Says stories about his birth certificate drowned out media coverage of the Republican and White House budget plans the week of April 11.,0,says stories about his birth certificate drowned out media coverage of the republican and white house budget plans the week of april 11.,story birth certificate drown medium coverage republican white house budget plan week april
"""90 percent of babies with Down syndrome are aborted.""",1,"""90 percent of babies with down syndrome are aborted.""",percent baby syndrome abort
"President Obama was ""raised Muslim.""",0,"president obama was ""raised muslim.""",president obama raise muslim
"President Barack Obama ""took exactly none of his own deficit reduction commission’s ideas. Not one.""",0,"president barack obama ""took exactly none of his own deficit reduction commissions ideas. not one.""",president barack obama exactly deficit reduction commission idea
"""We have created more jobs in this last year than the Bush administration (did) in eight years.""",1,"""we have created more jobs in this last year than the bush administration (did) in eight years.""",create job year bush administration year
"After the U.S.-led military alliance ejected Saddam Hussein’s forces from Kuwait in 1991, the Kuwaitis ""never paid us.""",0,"after the u.s.-led military alliance ejected saddam husseins forces from kuwait in 1991, the kuwaitis ""never paid us.""",military alliance eject saddam hussein force kuwait kuwaitis pay
Says the hospital listed on Barack Obama’s just-publicized long-form birth certificate denies the president was born there.,0,says the hospital listed on barack obamas just-publicized long-form birth certificate denies the president was born there.,hospital list barack obama publicize long form birth certificate deny president bear
"""CNN did a poll recently where Obama and I are statistically tied.""",0,"""cnn did a poll recently where obama and i are statistically tied.""",cnn poll recently obama I statistically tie
"Says ""many states"" are floundering under crushing deficit spending.",0,"says ""many states"" are floundering under crushing deficit spending.",state flounder crush deficit spending
"Says Paul Ryan ""voted for two wars that were unpaid for, voted for the Bush tax cuts that were unpaid for, voted for the prescription drug bill that cost as much as my health care bill -- but wasn't paid for.""",1,"says paul ryan ""voted for two wars that were unpaid for, voted for the bush tax cuts that were unpaid for, voted for the prescription drug bill that cost as much as my health care bill -- but wasn't paid for.""",paul ryan vote war unpaid vote bush tax cut unpaid vote prescription drug bill cost health care bill pay
"""As far as standing committees, we have 10 fewer standing committees. So we’ve saved the state about a quarter-of-a-million dollars through the reduction of the standing committees.""",0,"""as far as standing committees, we have 10 fewer standing committees. so weve saved the state about a quarter-of-a-million dollars through the reduction of the standing committees.""",far stand committee stand committee ve save state quarter million dollar reduction stand committee
"""The Georgia Lottery Corp. has only once in the past 16 years paid out the agreed upon 35 percent of proceeds to the account which funds the HOPE scholarship.""",0,"""the georgia lottery corp. has only once in the past 16 years paid out the agreed upon 35 percent of proceeds to the account which funds the hope scholarship.""",georgia lottery corp past year pay agree percent proceed account fund hope scholarship
"In early voting in Miami-Dade County, ""there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.""",0,"in early voting in miami-dade county, ""there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.""",early voting miami dade county trickle people day high cost public library poll open
"""Mickey Mouse was registered to vote (in Florida).""",0,"""mickey mouse was registered to vote (in florida).""",mickey mouse register vote florida
"""In Senate Bill 5, there is this new method of evaluating teachers. … You’re also going to be rated on what the parents think of you and they can send questionnaires and surveys home to parents.""",1,"""in senate bill 5, there is this new method of evaluating teachers. ... youre also going to be rated on what the parents think of you and they can send questionnaires and surveys home to parents.""",senate bill new method evaluate teacher rate parent think send questionnaire survey home parent
"""Each day our nation pays communist China $73.9 million in interest on our debt.""",1,"""each day our nation pays communist china $73.9 million in interest on our debt.""",day nation pay communist china million interest debt
"""Large majorities"" of the public ""oppose major changes to Medicare"" and favor higher taxes on the wealthy.",1,"""large majorities"" of the public ""oppose major changes to medicare"" and favor higher taxes on the wealthy.",large majority public oppose major change medicare favor high taxis wealthy
"""Iraq has the second-largest oilfields in the world (behind) Saudi Arabia.""",1,"""iraq has the second-largest oilfields in the world (behind) saudi arabia.""",iraq second large oilfield world saudi arabia
"""Every person on death row was a foster kid.""",0,"""every person on death row was a foster kid.""",person death row foster kid
Says protesters at the Wisconsin state Capitol on the night the state Senate passed collective bargaining changes damaged the windshield of his car.,0,says protesters at the wisconsin state capitol on the night the state senate passed collective bargaining changes damaged the windshield of his car.,protester wisconsin state capitol night state senate pass collective bargaining change damage windshield car
Salaries for Virginia’s teachers are below the national average.,1,salaries for virginias teachers are below the national average.,salary virginia teacher national average
"""Foreign companies in the United States have a significantly higher unionization rate than other companies overall.""",1,"""foreign companies in the united states have a significantly higher unionization rate than other companies overall.""",foreign company united state significantly high unionization rate company overall
Says salaries and benefits for Wisconsin state employee comprised 8.5 percent of the 2009-2011 state budget.,0,says salaries and benefits for wisconsin state employee comprised 8.5 percent of the 2009-2011 state budget.,salary benefit wisconsin state employee comprise percent state budget
"""Gov. (Rick) Perry helped balance his budget with about $6 billion worth of federal help, which he happily took, and then started blaming the members of Congress who had offered that help.""",1,"""gov. (rick) perry helped balance his budget with about $6 billion worth of federal help, which he happily took, and then started blaming the members of congress who had offered that help.""",gov rick perry help balance budget billion worth federal help happily start blame member congress offer help
China holds 26 percent of the U.S. debt.,0,china holds 26 percent of the u.s. debt.,china hold percent debt
"""Right now we are spending at an all-time high, close to 25 percent of our GDP [is] being spent on the federal government. But our revenues are at an almost all-time low of about 15 percent [of GDP].""",1,"""right now we are spending at an all-time high, close to 25 percent of our gdp [is] being spent on the federal government. but our revenues are at an almost all-time low of about 15 percent [of gdp].""",right spend time high close percent gdp spend federal government revenue time low percent gdp
Says he couldn't keep a 42-inch redfish he caught because of fishing rules.,1,says he couldn't keep a 42-inch redfish he caught because of fishing rules.,inch redfish catch fishing rule
"Says Wisconsin state Sen. Randy Hopper, R-Fond du Lac, has already been recalled.",0,"says wisconsin state sen. randy hopper, r-fond du lac, has already been recalled.",wisconsin state sen randy hopper r fond du lac recall
"Says Texas routinely gets ""a lot more federal spending"" than it pays in taxes.",1,"says texas routinely gets ""a lot more federal spending"" than it pays in taxes.",texas routinely lot federal spending pay taxis
"""It is a fact that it costs more to run the schools in August.""",0,"""it is a fact that it costs more to run the schools in august.""",fact cost run school august
Tim Kaine broke a campaign promise not to raise taxes.,0,tim kaine broke a campaign promise not to raise taxes.,tim kaine break campaign promise raise taxis
"""Almost 37 percent of the total income from Planned Parenthood is from abortions.""",0,"""almost 37 percent of the total income from planned parenthood is from abortions.""",percent total income planned parenthood abortion
"Says $38 billion in spending cuts in federal budget compromise is ""less than $1 billion in real cuts.""",0,"says $38 billion in spending cuts in federal budget compromise is ""less than $1 billion in real cuts.""",billion spending cut federal budget compromise billion real cut
